mun_name;pob;year
Bilbao;348089;2024
Madrid;3416771;2024
Pamplona;208243;2024
Vigo;293977;2024
Vitoria;257968;2024
Elche;243128;2024
Barcelona;1702547;2024
Getafe;189906;2024
Girona;107032;2024
Valencia;825948;2024
Cornellá de Llobregat;91589;2024
Palma;431521;2024
Sevilla;687488;2024
Oviedo;220543;2024
San Sebastián;189093;2024
Villarreal;52505;2024
Ceuta;83052;2024
Albacete;174137;2024
Burgos;176551;2024
Cádiz;110914;2024
Castellón de la Plana;180379;2024
Leganés;194084;2024
Miranda de Ebro;36025;2024
Córdoba;322811;2024
León;122243;2024
Granada;232717;2024
Málaga;591637;2024
Santander;173635;2024
A Coruña;249261;2024
Gijón;268561;2024
Valladolid;300618;2024
Zaragoza;686986;2024
Eibar;27362;2024
Huesca;54704;2024
Almería;202675;2024
Las Palmas de Gran Canaria;380436;2024
Encamp;12212;2024
Sant Joan Despí;35083;2024
;;
