season,spieltag,date,time,home_team,away_team,result,attendance,referee,match_report_url
2025,1,2025-08-15,19:00,Girona,Rayo,1:3,12403,Javier Alberola Rojas,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645606
2025,1,2025-08-15,21:30,Villarreal,Oviedo,2:0,18333,Alejandro Muñiz Ruiz,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645612
2025,1,2025-08-16,19:30,RCD Mallorca,,0:3,23318,José Luis Munuera Montero,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645608
2025,1,2025-08-16,21:30,Alavés,LEV,2:1,12837,Miguel Sesma Espinosa,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645605
2025,1,2025-08-16,21:30,Valencia,Real,1:1,45333,José María Sánchez Martínez,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645611
2025,1,2025-08-17,17:00,Celta de Vigo,Getafe,0:2,20530,Iosu Galech Apezteguía,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645614
2025,1,2025-08-17,19:30,Athletic Club,Sevill,3:2,49134,Francisco José Hernández Maeso,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645613
2025,1,2025-08-17,21:30,Espanyol,,2:1,29612,Mateo Busquets Ferrer,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645607
2025,1,2025-08-18,21:00,Elche CF,Betis,1:1,28585,Víctor García Verdura,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645609
2025,1,2025-08-19,21:00,,CAO,1:0,68407,Adrián Cordero Vega,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645610
2025,2,2025-08-22,21:30,Real Betis,Alavés,1:0,54646,Miguel Ángel Ortiz Arias,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645521
2025,2,2025-08-23,17:00,RCD Mallorca,Celta,1:1,16274,José Luis Guzmán Mansilla,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645523
2025,2,2025-08-23,19:30,,Elche,1:1,59369,César Soto Grado,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645518
2025,2,2025-08-23,21:30,Levante,,2:3,23415,Alejandro Hernández Hernández,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645522
2025,2,2025-08-24,17:00,CA Osasuna,VAL,1:0,21226,Jesús Gil Manzano,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645519
2025,2,2025-08-24,19:30,Villarreal,Girona,5:0,18195,Guillermo Cuadra Fernández,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645516
2025,2,2025-08-24,19:30,Real Sociedad,Espany,2:2,31616,Alejandro Quintero González,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645524
2025,2,2025-08-24,21:30,Real Oviedo,,0:3,29758,De Burgos Bengoetxea,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645520
2025,2,2025-08-25,19:30,Athletic Club,Rayo,1:0,48703,Juan Martínez Munuera,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645517
2025,2,2025-08-25,21:30,Sevilla FC,Getafe,1:2,36697,Isidro Díaz de Mera Escuderos,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645515
2025,3,2025-08-29,19:30,Elche CF,LEV,2:0,26936,Iosu Galech Apezteguía,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645529
2025,3,2025-08-29,21:30,Valencia,Getafe,3:0,45449,Francisco José Hernández Maeso,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645525
2025,3,2025-08-30,17:00,Alavés,,1:1,18042,Víctor García Verdura,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645527
2025,3,2025-08-30,19:00,Real Oviedo,Real,1:0,25688,Adrián Cordero Vega,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645532
2025,3,2025-08-30,19:30,Girona,Sevill,0:2,11305,Miguel Ángel Ortiz Arias,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645531
2025,3,2025-08-30,21:30,,RCDM,2:1,72699,José María Sánchez Martínez,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645526
2025,3,2025-08-31,17:00,Celta de Vigo,VIL,1:1,20172,Alejandro Quintero González,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645528
2025,3,2025-08-31,19:00,Real Betis,Athl.,1:2,65222,Isidro Díaz de Mera Escuderos,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645533
2025,3,2025-08-31,19:30,Espanyol,CAO,1:0,29780,Miguel Sesma Espinosa,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645530
2025,3,2025-08-31,21:30,Rayo Vallecano,,1:1,14438,Mateo Busquets Ferrer,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645534
2025,4,2025-09-12,21:00,Sevilla FC,Elche,2:2,37331,Javier Alberola Rojas,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645574
2025,4,2025-09-13,14:00,Getafe,Oviedo,2:0,8657,José Luis Guzmán Mansilla,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645570
2025,4,2025-09-13,16:15,Real Sociedad,,1:2,36958,Jesús Gil Manzano,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645565
2025,4,2025-09-13,18:30,Athletic Club,Alavés,0:1,49136,José María Sánchez Martínez,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645572
2025,4,2025-09-13,21:00,,VIL,2:0,63312,José Luis Munuera Montero,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645566
2025,4,2025-09-14,14:00,Celta de Vigo,Girona,1:1,18862,Adrián Cordero Vega,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645568
2025,4,2025-09-14,16:15,Levante,Betis,2:2,21938,Alejandro Muñiz Ruiz,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645573
2025,4,2025-09-14,18:30,CA Osasuna,Rayo,2:0,20511,César Soto Grado,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645571
2025,4,2025-09-14,21:00,,VAL,6:0,5862,Guillermo Cuadra Fernández,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645567
2025,4,2025-09-15,21:00,Espanyol,RCDM,3:2,26082,Alejandro Hernández Hernández,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645569
2025,5,2025-09-19,21:00,Real Betis,Real,3:1,59773,Mateo Busquets Ferrer,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645487
2025,5,2025-09-20,14:00,Girona,LEV,0:4,11048,Alejandro Quintero González,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645489
2025,5,2025-09-20,16:15,,Espany,2:0,73466,Juan Martínez Munuera,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645493
2025,5,2025-09-20,18:30,Alavés,Sevill,1:2,17525,Iosu Galech Apezteguía,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645485
2025,5,2025-09-20,18:30,Villarreal,CAO,2:1,17542,Isidro Díaz de Mera Escuderos,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645494
2025,5,2025-09-20,21:00,Valencia,Athl.,2:0,46004,Miguel Ángel Ortiz Arias,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645490
2025,5,2025-09-21,14:00,Rayo Vallecano,Celta,1:1,13028,Víctor García Verdura,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645492
2025,5,2025-09-21,16:15,RCD Mallorca,,1:1,21027,Francisco José Hernández Maeso,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645491
2025,5,2025-09-21,18:30,Elche CF,Oviedo,1:0,27235,Miguel Sesma Espinosa,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645488
2025,5,2025-09-21,21:00,,Getafe,3:0,5711,De Burgos Bengoetxea,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645486
2025,6,2025-08-27,21:00,Celta de Vigo,Betis,1:1,20302,Jesús Gil Manzano,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645543
2025,6,2025-09-23,19:00,Athletic Club,Girona,1:1,45739,José Luis Munuera Montero,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645536
2025,6,2025-09-23,19:00,Espanyol,VAL,2:2,26802,José Luis Guzmán Mansilla,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645538
2025,6,2025-09-23,21:30,Levante,,1:4,23361,Isidro Díaz de Mera Escuderos,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645539
2025,6,2025-09-23,21:30,Sevilla FC,VIL,1:2,38145,César Soto Grado,https://www.transfermarkt.com/spielbericht/index/spielbericht/4645540
