season,spieltag,date,time,home_team,away_team,home_goals,away_goals,attendance
2025,1,15/08/2025,19:00:00,Girona FC,Rayo Vallecano,1,3,12403
2025,1,15/08/2025,21:30:00,Villarreal CF,Real Oviedo,2,0,18333
2025,1,16/08/2025,19:30:00,RCD Mallorca,FC Barcelona,0,3,23318
2025,1,16/08/2025,21:30:00,Deportivo Alavés,Levante UD,2,1,12837
2025,1,16/08/2025,21:30:00,Valencia CF,Real Sociedad,1,1,45333
2025,1,17/08/2025,17:00:00,RC Celta,Getafe CF,0,2,20530
2025,1,17/08/2025,19:30:00,Athletic Bilbao,Sevilla FC,3,2,49134
2025,1,17/08/2025,21:30:00,RCD Espanyol,Atlético de Madrid,2,1,29612
2025,1,18/08/2025,21:00:00,Elche CF,Real Betis,1,1,28585
2025,1,19/08/2025,21:00:00,Real Madrid,CA Osasuna,1,0,68407
2025,2,22/08/2025,21:30:00,Real Betis,Deportivo Alavés,1,0,54646
2025,2,23/08/2025,17:00:00,RCD Mallorca,RC Celta,1,1,16274
2025,2,23/08/2025,19:30:00,Atlético de Madrid,Elche CF,1,1,59369
2025,2,23/08/2025,21:30:00,Levante UD,FC Barcelona,2,3,23415
2025,2,24/08/2025,17:00:00,CA Osasuna,Valencia CF,1,0,21226
2025,2,24/08/2025,19:30:00,Villarreal CF,Girona FC,5,0,18195
2025,2,24/08/2025,19:30:00,Real Sociedad,RCD Espanyol,2,2,31616
2025,2,24/08/2025,21:30:00,Real Oviedo,Real Madrid,0,3,29758
2025,2,25/08/2025,19:30:00,Athletic Bilbao,Rayo Vallecano,1,0,48703
2025,2,25/08/2025,21:30:00,Sevilla FC,Getafe CF,1,2,36697
2025,3,29/08/2025,19:30:00,Elche CF,Levante UD,2,0,26936
2025,3,29/08/2025,21:30:00,Valencia CF,Getafe CF,3,0,45449
2025,3,30/08/2025,17:00:00,Deportivo Alavés,Atlético de Madrid,1,1,18042
2025,3,30/08/2025,19:00:00,Real Oviedo,Real Sociedad,1,0,25688
2025,3,30/08/2025,19:30:00,Girona FC,Sevilla FC,0,2,11305
2025,3,30/08/2025,21:30:00,Real Madrid,RCD Mallorca,2,1,72699
2025,3,31/08/2025,17:00:00,RC Celta,Villarreal CF,1,1,20172
2025,3,31/08/2025,19:00:00,Real Betis,Athletic Bilbao,1,2,65222
2025,3,31/08/2025,19:30:00,RCD Espanyol,CA Osasuna,1,0,29780
2025,3,31/08/2025,21:30:00,Rayo Vallecano,FC Barcelona,1,1,14438
2025,4,12/09/2025,21:00:00,Sevilla FC,Elche CF,2,2,37331
2025,4,13/09/2025,14:00:00,Getafe CF,Real Oviedo,2,0,8657
2025,4,13/09/2025,16:15:00,Real Sociedad,Real Madrid,1,2,36958
2025,4,13/09/2025,18:30:00,Athletic Bilbao,Deportivo Alavés,0,1,49136
2025,4,13/09/2025,21:00:00,Atlético de Madrid,Villarreal CF,2,0,63312
2025,4,14/09/2025,14:00:00,RC Celta,Girona FC,1,1,18862
2025,4,14/09/2025,16:15:00,Levante UD,Real Betis,2,2,21938
2025,4,14/09/2025,18:30:00,CA Osasuna,Rayo Vallecano,2,0,20511
2025,4,14/09/2025,21:00:00,FC Barcelona,Valencia CF,6,0,5862
2025,4,15/09/2025,21:00:00,RCD Espanyol,RCD Mallorca,3,2,26082
2025,5,19/09/2025,21:00:00,Real Betis,Real Sociedad,3,1,59773
2025,5,20/09/2025,14:00:00,Girona FC,Levante UD,0,4,11048
2025,5,20/09/2025,16:15:00,Real Madrid,RCD Espanyol,2,0,73466
2025,5,20/09/2025,18:30:00,Deportivo Alavés,Sevilla FC,1,2,17525
2025,5,20/09/2025,18:30:00,Villarreal CF,CA Osasuna,2,1,17542
2025,5,20/09/2025,21:00:00,Valencia CF,Athletic Bilbao,2,0,46004
2025,5,21/09/2025,14:00:00,Rayo Vallecano,RC Celta,1,1,13028
2025,5,21/09/2025,16:15:00,RCD Mallorca,Atlético de Madrid,1,1,21027
2025,5,21/09/2025,18:30:00,Elche CF,Real Oviedo,1,0,27235
2025,5,21/09/2025,21:00:00,FC Barcelona,Getafe CF,3,0,5711
2025,6,27/08/2025,21:00:00,RC Celta,Real Betis,1,1,20302
2025,6,23/09/2025,19:00:00,Athletic Bilbao,Girona FC,1,1,45739
2025,6,23/09/2025,19:00:00,RCD Espanyol,Valencia CF,2,2,26802
2025,6,23/09/2025,21:30:00,Levante UD,Real Madrid,1,4,23361
2025,6,23/09/2025,21:30:00,Sevilla FC,Villarreal CF,1,2,38145
2025,6,24/09/2025,19:00:00,Getafe CF,Deportivo Alavés,1,1,8005
2025,6,24/09/2025,21:30:00,Real Sociedad,RCD Mallorca,1,0,22442
2025,6,24/09/2025,21:30:00,Atlético de Madrid,Rayo Vallecano,3,2,54098
2025,6,25/09/2025,19:30:00,CA Osasuna,Elche CF,1,1,19475
2025,6,25/09/2025,21:30:00,Real Oviedo,FC Barcelona,1,3,29850
2025,7,26/09/2025,21:00:00,Girona FC,RCD Espanyol,0,0,11488
2025,7,27/09/2025,14:00:00,Getafe CF,Levante UD,1,1,7747
2025,7,27/09/2025,16:15:00,Atlético de Madrid,Real Madrid,5,2,69167
2025,7,27/09/2025,18:30:00,RCD Mallorca,Deportivo Alavés,1,0,16275
2025,7,27/09/2025,21:00:00,Villarreal CF,Athletic Bilbao,1,0,18908
2025,7,28/09/2025,14:00:00,Rayo Vallecano,Sevilla FC,0,1,13080
2025,7,28/09/2025,16:15:00,Elche CF,RC Celta,2,1,26708
2025,7,28/09/2025,18:30:00,FC Barcelona,Real Sociedad,2,1,50103
2025,7,28/09/2025,21:00:00,Real Betis,CA Osasuna,2,0,50034
2025,7,30/09/2025,20:00:00,Valencia CF,Real Oviedo,1,2,40364
2025,8,03/10/2025,21:00:00,CA Osasuna,Getafe CF,2,1,19895
2025,8,04/10/2025,14:00:00,Real Oviedo,Levante UD,0,2,23878
2025,8,04/10/2025,16:15:00,Girona FC,Valencia CF,2,1,10867
2025,8,04/10/2025,18:30:00,Athletic Bilbao,RCD Mallorca,2,1,47098
2025,8,04/10/2025,21:00:00,Real Madrid,Villarreal CF,3,1,75216
2025,8,05/10/2025,14:00:00,Deportivo Alavés,Elche CF,3,1,16203
2025,8,05/10/2025,16:15:00,Sevilla FC,FC Barcelona,4,1,41040
2025,8,05/10/2025,18:30:00,RCD Espanyol,Real Betis,1,2,32778
2025,8,05/10/2025,18:30:00,Real Sociedad,Rayo Vallecano,0,1,31189
2025,8,05/10/2025,21:00:00,RC Celta,Atlético de Madrid,1,1,20877
2025,9,17/10/2025,21:00:00,Real Oviedo,RCD Espanyol,0,2,25625
2025,9,18/10/2025,14:00:00,Sevilla FC,RCD Mallorca,1,3,37008
2025,9,18/10/2025,16:15:00,FC Barcelona,Girona FC,2,1,43172
2025,9,18/10/2025,18:30:00,Villarreal CF,Real Betis,2,2,19238
2025,9,18/10/2025,21:00:00,Atlético de Madrid,CA Osasuna,1,0,62884
2025,9,19/10/2025,14:00:00,Elche CF,Athletic Bilbao,0,0,29043
2025,9,19/10/2025,16:15:00,RC Celta,Real Sociedad,1,1,19102
2025,9,19/10/2025,18:30:00,Levante UD,Rayo Vallecano,0,3,20312
2025,9,19/10/2025,21:00:00,Getafe CF,Real Madrid,0,1,10090
2025,9,20/10/2025,21:00:00,Deportivo Alavés,Valencia CF,0,0,15564
2025,10,24/10/2025,21:00:00,Real Sociedad,Sevilla FC,2,1,30965
2025,10,25/10/2025,14:00:00,Girona FC,Real Oviedo,3,3,11120
2025,10,25/10/2025,16:15:00,RCD Espanyol,Elche CF,1,0,30820
2025,10,25/10/2025,18:30:00,Athletic Bilbao,Getafe CF,0,1,47749
2025,10,25/10/2025,21:00:00,Valencia CF,Villarreal CF,0,2,45560
2025,10,26/10/2025,14:00:00,RCD Mallorca,Levante UD,1,1,12964
2025,10,26/10/2025,16:15:00,Real Madrid,FC Barcelona,2,1,78107
2025,10,26/10/2025,18:30:00,CA Osasuna,RC Celta,2,3,20065
2025,10,26/10/2025,21:00:00,Rayo Vallecano,Deportivo Alavés,1,0,11734
2025,10,27/10/2025,21:00:00,Real Betis,Atlético de Madrid,0,2,57537
2025,11,31/10/2025,21:00:00,Getafe CF,Girona FC,2,1,7223
2025,11,01/11/2025,14:00:00,Villarreal CF,Rayo Vallecano,4,0,17022
2025,11,01/11/2025,16:15:00,Atlético de Madrid,Sevilla FC,3,0,66119
2025,11,01/11/2025,18:30:00,Real Sociedad,Athletic Bilbao,3,2,37685
2025,11,01/11/2025,21:00:00,Real Madrid,Valencia CF,4,0,74796
2025,11,02/11/2025,14:00:00,Levante UD,RC Celta,1,2,19513
2025,11,02/11/2025,16:15:00,Deportivo Alavés,RCD Espanyol,2,1,17149
2025,11,02/11/2025,18:30:00,FC Barcelona,Elche CF,3,1,44370
2025,11,02/11/2025,21:00:00,Real Betis,RCD Mallorca,3,0,54747
2025,11,03/11/2025,21:00:00,Real Oviedo,CA Osasuna,0,0,23795
2025,12,07/11/2025,21:00:00,Elche CF,Real Sociedad,1,1,26242
2025,12,08/11/2025,14:00:00,Girona FC,Deportivo Alavés,1,0,10050
